"DateTime","Number of sales","Sales USD"
"2022-06-04 00:00:00",60,3080483.56
"2022-06-05 00:00:00",53,2886587.31
"2022-06-06 00:00:00",71,6684222.03
"2022-06-07 00:00:00",85,6830581.83
"2022-06-08 00:00:00",93,3802375.19
"2022-06-09 00:00:00",82,4744212.27
"2022-06-10 00:00:00",55,3810581.39
"2022-06-11 00:00:00",79,3804954.75
"2022-06-12 00:00:00",95,3850047.14
"2022-06-13 00:00:00",360,11366447.02
"2022-06-14 00:00:00",245,8336960.67
"2022-06-15 00:00:00",167,5949821.72
"2022-06-16 00:00:00",115,4973027.02
"2022-06-17 00:00:00",103,3674509.69
"2022-06-18 00:00:00",119,3871117.81
"2022-06-19 00:00:00",109,4088340.65
"2022-06-20 00:00:00",108,4104386.36
"2022-06-21 00:00:00",95,3891234.22
"2022-06-22 00:00:00",68,2973273.64
"2022-06-23 00:00:00",60,1810330.54
"2022-06-24 00:00:00",93,3105962.1
"2022-06-25 00:00:00",60,2535975.7
"2022-06-26 00:00:00",86,3915231.31
"2022-06-27 00:00:00",93,4692643.65
"2022-06-28 00:00:00",106,5226220.48
"2022-06-29 00:00:00",84,2855309.42
"2022-06-30 00:00:00",93,3831794.95
"2022-07-01 00:00:00",100,4068770.09
"2022-07-02 00:00:00",64,2053330.25
"2022-07-03 00:00:00",66,2397743.9
"2022-07-04 00:00:00",54,2098832.79
"2022-07-05 00:00:00",74,2383153.81
"2022-07-06 00:00:00",93,3985342.62
"2022-07-07 00:00:00",137,6034578.86
"2022-07-08 00:00:00",126,5618130.31
"2022-07-09 00:00:00",217,5135777.11
"2022-07-10 00:00:00",127,4907739.31
"2022-07-11 00:00:00",87,2686795.92
"2022-07-12 00:00:00",119,3764800.67
"2022-07-13 00:00:00",117,4714793.64
"2022-07-14 00:00:00",81,2970503.42
"2022-07-15 00:00:00",53,2606242.4
"2022-07-16 00:00:00",72,2954347.27
"2022-07-17 00:00:00",63,2755271.98
"2022-07-18 00:00:00",71,3320567.65
"2022-07-19 00:00:00",79,3739653.55
"2022-07-20 00:00:00",56,2942065.11
"2022-07-21 00:00:00",94,4608010.95
"2022-07-22 00:00:00",63,3251284.9
"2022-07-23 00:00:00",51,2095023.43
"2022-07-24 00:00:00",55,2222009.6
"2022-07-25 00:00:00",62,2900934.55
"2022-07-26 00:00:00",79,3085402.28
"2022-07-27 00:00:00",89,2720172.84
"2022-07-28 00:00:00",89,3828198.94
"2022-07-29 00:00:00",96,4445482.98
"2022-07-30 00:00:00",54,2930130.39
"2022-07-31 00:00:00",51,1397007.99
"2022-08-01 00:00:00",55,2420488.8
"2022-08-02 00:00:00",56,2213452.33
"2022-08-03 00:00:00",63,2370123.15
"2022-08-04 00:00:00",95,3396503.58
"2022-08-05 00:00:00",84,4162470.48
"2022-08-06 00:00:00",61,2241425.14
"2022-08-07 00:00:00",114,3556817.03
"2022-08-08 00:00:00",68,2079872.52
"2022-08-09 00:00:00",72,3047021.06
"2022-08-10 00:00:00",103,4402065.76
"2022-08-11 00:00:00",72,3564998.45
"2022-08-12 00:00:00",79,3315004.8
"2022-08-13 00:00:00",72,2796815.22
"2022-08-14 00:00:00",68,2795428.19
"2022-08-15 00:00:00",80,3229857.34
"2022-08-16 00:00:00",99,4216349.46
"2022-08-17 00:00:00",97,5233984.88
"2022-08-18 00:00:00",64,3273243.57
"2022-08-19 00:00:00",111,3397805.89
"2022-08-20 00:00:00",127,4096238.97
"2022-08-21 00:00:00",189,5543938.73
"2022-08-22 00:00:00",107,3925929.09
"2022-08-23 00:00:00",80,2972186.28
"2022-08-24 00:00:00",153,5499739.58
"2022-08-25 00:00:00",154,7273058.59
"2022-08-26 00:00:00",134,4862080.84
"2022-08-27 00:00:00",86,3841304.59
"2022-08-28 00:00:00",67,2148595.4
"2022-08-29 00:00:00",61,1993466.07
"2022-08-30 00:00:00",74,2885513.75
"2022-08-31 00:00:00",60,2961195
"2022-09-01 00:00:00",43,1010657.74
"2022-09-02 00:00:00",60,2050487.34
"2022-09-03 00:00:00",39,1177976.58
"2022-09-04 00:00:00",21,512706.96
"2022-09-05 00:00:00",60,2285609.77
"2022-09-06 00:00:00",76,1863455.59
"2022-09-07 00:00:00",86,2337120.35
"2022-09-08 00:00:00",70,2880852.44
"2022-09-09 00:00:00",61,2249522.16
"2022-09-10 00:00:00",89,2441485.19
"2022-09-11 00:00:00",90,3375613.6
"2022-09-12 00:00:00",70,2195015.02
"2022-09-13 00:00:00",82,2497421.83
"2022-09-14 00:00:00",45,1407136.05
"2022-09-15 00:00:00",86,2349936.04
"2022-09-16 00:00:00",53,1317555.66
"2022-09-17 00:00:00",77,2512915.03
"2022-09-18 00:00:00",78,2558766.54
"2022-09-19 00:00:00",79,2147321.15
"2022-09-20 00:00:00",125,3713839.27
"2022-09-21 00:00:00",84,1758349.39
"2022-09-22 00:00:00",75,2017352.63
"2022-09-23 00:00:00",72,2674997.99
"2022-09-24 00:00:00",87,3395505.08
"2022-09-25 00:00:00",97,3109821.59
"2022-09-26 00:00:00",79,2866933.53
"2022-09-27 00:00:00",52,1825431.96
"2022-09-28 00:00:00",107,2678989.41
"2022-09-29 00:00:00",74,1455046.84
"2022-09-30 00:00:00",69,1764666.5
"2022-10-01 00:00:00",68,2066300.5
"2022-10-02 00:00:00",69,1620954.91
"2022-10-03 00:00:00",48,1167068.99
"2022-10-04 00:00:00",56,1396775.17
"2022-10-05 00:00:00",55,1562518.91
"2022-10-06 00:00:00",69,2510777.45
"2022-10-07 00:00:00",51,1143256.31
"2022-10-08 00:00:00",51,1546995.23
"2022-10-09 00:00:00",60,1414763.96
"2022-10-10 00:00:00",54,1610134.01
"2022-10-11 00:00:00",94,2777200.77
"2022-10-12 00:00:00",101,2562177.96
"2022-10-13 00:00:00",106,2747307.12
"2022-10-14 00:00:00",65,1685190.85
"2022-10-15 00:00:00",56,1435938.1
"2022-10-16 00:00:00",64,1958365.59
"2022-10-17 00:00:00",49,936990.32
"2022-10-18 00:00:00",59,1433883.69
"2022-10-19 00:00:00",65,1867357.48
"2022-10-20 00:00:00",65,1788357.65
"2022-10-21 00:00:00",64,2082521.79
"2022-10-22 00:00:00",65,1456391.81
"2022-10-23 00:00:00",55,1432862.85
"2022-10-24 00:00:00",40,966503.58
"2022-10-25 00:00:00",83,2513151.38
"2022-10-26 00:00:00",103,3088176.01
"2022-10-27 00:00:00",62,1721998.47
"2022-10-28 00:00:00",62,1584935.22
"2022-10-29 00:00:00",59,1959209.41
"2022-10-30 00:00:00",76,2090651.91
"2022-10-31 00:00:00",125,4642242.07
"2022-11-01 00:00:00",77,2594339.17
"2022-11-02 00:00:00",77,3155632.67
"2022-11-03 00:00:00",56,1207081.42
"2022-11-04 00:00:00",92,3165111.87
"2022-11-05 00:00:00",65,1597861.41
"2022-11-06 00:00:00",69,1867519.6
"2022-11-07 00:00:00",47,2897961.49
"2022-11-08 00:00:00",79,3155531.35
"2022-11-09 00:00:00",155,4157708.2
"2022-11-10 00:00:00",213,6403707.86
"2022-11-11 00:00:00",189,5857740.95
"2022-11-12 00:00:00",105,3791371.41
"2022-11-13 00:00:00",94,2187151.39
"2022-11-14 00:00:00",187,5020142.71
"2022-11-15 00:00:00",296,9405556.31
"2022-11-16 00:00:00",215,4236967.36
"2022-11-17 00:00:00",69,2390999.54
"2022-11-18 00:00:00",92,1718667.35
"2022-11-19 00:00:00",55,1214717.03
"2022-11-20 00:00:00",62,994939.55
"2022-11-21 00:00:00",89,2525836.73
"2022-11-22 00:00:00",104,2750687.96
"2022-11-23 00:00:00",107,4399674.44
"2022-11-24 00:00:00",317,5938519.29
"2022-11-25 00:00:00",193,3778961.73
"2022-11-26 00:00:00",423,9746023.25
"2022-11-27 00:00:00",271,6492601.21
"2022-11-28 00:00:00",146,3872567
"2022-11-29 00:00:00",93,1873803.61
"2022-11-30 00:00:00",101,2731187.51
"2022-12-01 00:00:00",60,1420088.4
"2022-12-02 00:00:00",75,1768234.32
